timestamp_start,timestamp_end,speaker,text
00:00,00:20,SPEAKER_02,"We will go through the next set of, hope you are ready to see the screen, yes Madhushree."
00:20,00:29,SPEAKER_02,"We will go, hi Pooja, so can you please explain on this control, account services, general."
00:29,00:32,SPEAKER_02,Processing control you mean?
00:32,00:40,SPEAKER_01,"Okay, so account close due to 4 and more targets."
00:40,00:47,SPEAKER_01,"Actually I discussed with JSM also on the same control, what we are doing monthly basis,."
00:47,00:54,SPEAKER_01,"We are taking the data for one calendar year, where the customer has 4 and more return cheques."
00:54,00:57,SPEAKER_01,Due to non-sufficient funds.
00:57,01:01,SPEAKER_02,"Where the customer has non-sufficient funds, is it?"
01:01,01:04,SPEAKER_01,"Yeah, return cheques with NSF."
01:04,01:05,SPEAKER_01,Okay.
01:05,01:13,SPEAKER_01,"Okay, so we are taking the data, we are segregating, first we are segregating with the customers."
01:13,01:17,SPEAKER_01,"Who are having, sorry, first we have a segregation."
01:17,01:23,SPEAKER_01,"Segregation is what, we are segregating the data by the business wise, we are segregating."
01:23,01:27,SPEAKER_01,"The WPG separate, we are segregating the private banking separate, we are segregating the private."
01:27,01:30,SPEAKER_01,"Banking separate, as these are out of the scope."
01:30,01:34,SPEAKER_02,"Okay, we are segregating the business wise, okay."
01:34,01:41,SPEAKER_01,"Okay, then we are taking actions on the classic customers, I mean the rare customers, classic."
01:41,01:44,SPEAKER_01,"Customers, classic segments and the BBT segment."
01:44,01:45,SPEAKER_01,Okay.
01:45,01:51,SPEAKER_01,"But we are doing on the same two segments, we are taking further actions and we are removing."
01:51,01:56,SPEAKER_01,All those accounts where the customer has any liability with us.
01:56,01:59,SPEAKER_02,We are taking further actions?
01:59,02:03,SPEAKER_01,"To segregate the accounts where the customer has a liability, finance, any kind of finance,."
02:03,02:10,SPEAKER_01,"Covered card, linked with account, RFM, anything, any kind of facility available in the accounts."
02:10,02:12,SPEAKER_02,"Okay, any liability, okay."
02:12,02:13,SPEAKER_01,"Yes, okay."
02:13,02:19,SPEAKER_01,"So, after segregating these accounts, the rest of the accounts for the classic customers."
02:19,02:26,SPEAKER_01,We are sharing with the BookMD-CMD team and for the BBT customers we are sharing with.
02:26,02:28,SPEAKER_01,The BBT team.
02:28,02:33,SPEAKER_01,"So, the control is what we are digitally, we are generating this report manually and."
02:33,02:35,SPEAKER_01,We are segregating this data manually.
02:35,02:39,SPEAKER_01,"If the system can generate for us as a trigger, monthly basis."
02:39,02:40,SPEAKER_01,"Okay, got it."
02:40,02:41,SPEAKER_02,Yeah.
02:41,02:42,SPEAKER_02,Okay.
02:42,02:43,SPEAKER_00,Correct now?
02:43,02:44,SPEAKER_00,Correct.
02:44,02:45,SPEAKER_00,"Jasabai, what I explained is correct?"
02:45,02:46,Unknown,"Yes, Madhubai."
02:46,02:52,SPEAKER_00,"First, what you are looking for is you should get a report which is showcasing that this."
02:52,02:57,SPEAKER_00,Many list of accounts which are due for closure for this particular reason.
02:57,02:58,SPEAKER_00,Yes.
02:58,03:00,SPEAKER_00,"This is what you are looking for, for the first checkpoint."
03:00,03:01,SPEAKER_00,Correct.
03:01,03:02,SPEAKER_00,"Yes, correct."
03:02,03:07,SPEAKER_00,"So, once that is done, then you will, based on the output from the business teams, you."
03:07,03:11,SPEAKER_00,Will need to send an email notification to these customers.
03:11,03:12,SPEAKER_00,Right.
03:12,03:13,SPEAKER_01,The second step I will explain.
03:13,03:19,SPEAKER_01,"Then what we will do, after sharing the data with the business for CMD and BBT, we will."
03:19,03:21,SPEAKER_01,Wait for 10 days.
03:21,03:28,SPEAKER_01,"So, within 10 days, the business has to confirm to us which accounts they want to keep it."
03:28,03:29,SPEAKER_01,Okay.
03:30,03:33,SPEAKER_01,Okay.
03:33,03:38,SPEAKER_01,"After getting the data from them, we, what we are doing, we are sharing this data with."
03:38,03:43,SPEAKER_01,The SMS pending team to send them the notification that we are going to close your accounts due.
03:43,03:44,SPEAKER_01,To foreign borrowed assets.
03:44,03:50,SPEAKER_01,"So, the control, second control is that once these 10 days are completed, the automatic."
03:50,03:57,SPEAKER_01,Alert will be generated to us that the SMS notification is pending for the foreign borrowed.
03:57,03:58,SPEAKER_01,Assets.
03:59,04:00,Unknown,"Yes, sir."
04:00,04:01,Unknown,That's important.
04:01,04:09,SPEAKER_01,"But, yes, please, please, technical things you have to let me know is correct or not."
04:09,04:14,SPEAKER_00,"Yes, yes, yes, yes, yes, please."
04:14,04:15,SPEAKER_00,Okay.
04:15,04:18,SPEAKER_00,"The third is, but after."
04:18,04:22,SPEAKER_02,"One second, one second, one second."
04:22,04:25,SPEAKER_02,I have a doubt here.
04:25,04:31,SPEAKER_02,"The first, the first is still, the first step is still we need to, you know, apply certain."
04:31,04:32,SPEAKER_02,Filtering criteria.
04:32,04:35,SPEAKER_02,"Like, you know, the first step is to identify the plastic segment."
04:35,04:38,SPEAKER_02,"Jassim, can you please go on with?"
04:38,04:39,Unknown,Yeah.
04:39,04:40,SPEAKER_02,"So, okay."
04:40,04:47,SPEAKER_02,"So, first, I mean, let me list down the steps that to identify the accounts that needs to."
04:47,04:49,SPEAKER_02,Be closed for the return cheques.
04:49,04:53,SPEAKER_02,"So, we will have the entire list of accounts for which like four or more cheques have been."
04:53,04:57,SPEAKER_02,Returned and from that we will be segregating the customer business wise.
